ID_nr,CompComf,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8,Comp 9,Comp 10,Comp 11,Comp 12,Comp 13,Comp 14,Comp 15,Comp 16,Comp 17,Comp 18,Comp 19,Comp 20,Comp 21,Comp 22,Comp 23,Comp 24,Comp 25,Comp 26,Comp 27,Comp 28,Comp 29,Comp 30,Comp 31,Sex,Age,IsProgL,IsNotOS,IsNotBrowser,IsRAM,IsPDF,Kohort
116,10,2,1,3,1,1,2,5,1,3,3,2,2,1,1,5,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Kvinna,25,1,1,1,0,1,1
117,7,2,2,1,3,1,4,4,2,3,3,1,3,1,4,4,1,2,2,1,2,4,1,4,1,1,2,1,3,3,1,1,Man,22,1,1,1,1,1,1
118,8,1,2,1,2,3,1,4,2,3,2,5,3,2,4,1,2,3,4,2,4,4,4,4,3,1,2,3,3,3,5,2,Kvinna,26,1,1,1,0,1,1
119,7,2,3,4,4,2,1,2,3,4,4,1,3,3,2,4,4,4,2,3,3,4,3,2,2,3,3,3,2,2,1,4,Man,24,1,1,1,1,1,1
120,7,1,1,1,1,1,1,5,1,2,5,3,1,1,5,5,2,5,2,2,1,4,4,1,2,1,1,1,3,4,3,2,Kvinna,20,1,1,0,1,1,1
121,10,1,2,1,1,2,1,5,1,5,5,2,1,1,5,4,2,3,1,1,1,5,5,5,1,1,1,1,3,5,1,1,Man,26,1,1,1,1,1,1
122,6,2,3,1,3,3,5,2,5,5,2,3,4,3,4,5,3,5,4,3,3,4,2,5,4,2,4,2,4,2,3,1,Kvinna,19,1,1,1,0,1,1
123,9,1,1,1,1,1,1,5,1,3,5,1,1,1,5,2,1,1,1,3,1,5,4,5,1,1,1,1,4,5,1,1,Man,54,1,1,1,1,1,1
124,2,1,5,4,1,5,5,1,5,4,1,4,5,4,1,4,5,5,5,2,1,1,1,2,5,4,5,5,1,1,4,5,Kvinna,54,0,0,1,0,1,1
125,6,2,4,1,3,4,4,2,4,4,3,4,2,2,3,3,4,4,4,2,2,2,1,4,3,1,2,4,1,1,1,4,Man,,0,1,1,0,0,1
126,5,2,2,1,4,1,3,3,1,2,4,2,2,1,4,3,2,3,2,2,2,4,3,5,2,1,2,1,3,4,1,3,Man,58,1,1,1,1,0,1
127,8,2,2,1,2,3,2,2,4,4,4,2,3,4,4,2,3,5,4,2,4,4,4,4,2,2,3,2,4,4,5,2,Kvinna,19,1,1,1,1,1,1
128,8,1,1,1,1,3,1,5,1,5,5,1,1,1,5,5,3,4,1,1,1,5,5,5,1,1,1,1,5,4,2,1,Man,38,1,1,1,1,1,1
129,8,1,2,1,1,3,3,4,2,4,5,3,1,1,3,5,3,3,2,1,4,4,4,5,2,1,1,1,3,3,1,1,Kvinna,21,1,0,1,0,1,1
130,3,4,3,3,4,5,3,2,4,5,4,2,2,4,3,5,5,5,4,1,5,3,3,2,4,4,1,4,2,2,1,3,Kvinna,23,1,1,1,0,1,1
131,5,2,4,2,3,3,4,3,5,4,3,3,2,4,3,4,4,4,4,2,3,4,2,3,3,1,3,4,2,3,2,1,Kvinna,22,0,1,1,0,1,1
132,9,2,3,1,2,2,2,5,4,3,5,1,2,1,4,4,2,3,2,3,3,4,4,1,1,1,1,1,4,3,1,3,Kvinna,28,1,1,1,1,1,1
133,8,2,3,1,3,2,2,4,1,3,3,4,3,1,3,5,2,4,4,2,4,4,3,5,2,1,1,1,3,4,1,4,Kvinna,21,1,1,1,0,1,1
